,Beijing,Haerbin,Jinan,Rongcheng,Taiyuan,XiAn,Chengdu,Nanjing,Jixi,Suzhou,Wenzhou,Changsha,Loudi,Nanchang,Meixian,Guilin,Guangzhou,Fuzhou,Xiamen
Meixian_老 婆,0.841,1.000,0.841,1.000,1.000,0.550,1.000,1.000,0.387,0.438,0.385,0.841,0.589,0.841,1.000,1.000,0.841,0.528,0.302
Guilin_老 婆,0.841,1.000,0.841,1.000,1.000,0.550,1.000,1.000,0.387,0.438,0.385,0.841,0.589,0.841,1.000,1.000,0.841,0.528,0.302
Guangzhou_妻 子,1.000,0.841,1.000,0.841,0.841,0.535,0.841,0.841,0.563,0.447,0.382,1.000,0.531,1.000,0.841,0.841,1.000,0.583,0.324
Fuzhou_老 小,0.583,0.528,0.583,0.528,0.528,0.477,0.528,0.528,0.513,0.530,0.430,0.583,0.633,0.583,0.528,0.528,0.583,1.000,0.203
Xiamen_某,0.324,0.302,0.324,0.302,0.302,0.140,0.302,0.302,0.322,0.358,0.368,0.324,0.313,0.324,0.302,0.302,0.324,0.203,1.000
Beijing_全 部,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,NaN,1.000
Haerbin_全 部,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,NaN,1.000
Jinan_全 部,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,NaN,1.000
Rongcheng_全 部,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,NaN,1.000
Taiyuan_全 部,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,NaN,1.000
XiAn_全 部,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,NaN,1.000
Chengdu_全 部,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,NaN,1.000
